Ay,kariyer net,is ilani
2015-01,41,29
2015-02,44,31
2015-03,43,29
2015-04,36,27
2015-05,34,29
2015-06,39,34
2015-07,40,35
2015-08,42,35
2015-09,41,35
2015-10,42,37
2015-11,38,34
2015-12,37,31
2016-01,29,32
2016-02,35,38
2016-03,34,35
2016-04,36,30
2016-05,46,34
2016-06,53,38
2016-07,56,40
2016-08,68,45
2016-09,64,43
2016-10,77,47
2016-11,73,43
2016-12,65,39
2017-01,75,41
2017-02,79,42
2017-03,76,40
2017-04,71,33
2017-05,50,36
2017-06,44,41
2017-07,48,45
2017-08,54,39
2017-09,66,42
2017-10,65,40
2017-11,61,37
2017-12,56,33
2018-01,62,36
2018-02,64,37
2018-03,61,34
2018-04,55,31
2018-05,61,31
2018-06,57,38
2018-07,69,42
2018-08,56,38
2018-09,77,47
2018-10,81,48
2018-11,70,44
2018-12,64,46
2019-01,69,50
2019-02,70,52
2019-03,58,45
2019-04,43,42
2019-05,44,47
2019-06,47,52
2019-07,50,52
2019-08,45,47
2019-09,53,58
2019-10,50,51
2019-11,47,47
2019-12,49,45
2020-01,58,46
2020-02,57,42
2020-03,44,30
2020-04,24,17
2020-05,34,28
2020-06,60,39
2020-07,65,40
2020-08,59,48
2020-09,89,35
2020-10,87,33
2020-11,68,28
2020-12,66,26
2021-01,76,27
2021-02,82,27
2021-03,84,27
2021-04,61,22
2021-05,57,21
2021-06,77,29
2021-07,68,28
2021-08,86,33
2021-09,100,33
2021-10,84,28
2021-11,71,27
2021-12,67,23
2022-01,79,27
2022-02,88,28
2022-03,94,24
2022-04,77,26
